,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
113,57,Syracuse Orange,0,77,11,11,6,1,23,7,16,52,29,11,26,15,8,19,Syracuse Orange
114,57,Boston College Eagles,1,71,13,11,5,0,23,6,17,45,21,9,22,23,20,19,
115,58,Louisville Cardinals,0,82,16,11,6,3,39,9,30,56,29,10,24,18,14,17,Louisville Cardinals
116,58,Wake Forest Demon Deacons,1,54,3,11,6,2,32,15,17,68,18,2,20,19,16,16,
117,59,North Carolina Tar Heels,0,79,16,10,7,3,47,16,31,69,29,6,24,19,15,15,North Carolina Tar Heels
118,59,Louisville Cardinals,1,69,14,11,4,3,31,7,24,62,26,10,29,9,7,16,
119,60,Virginia Tech Hokies,0,47,8,10,8,3,37,10,27,45,16,7,21,13,8,11,Virginia Tech Hokies
120,60,North Carolina State Wolfpack,1,24,2,10,5,3,32,13,19,54,9,2,28,6,4,16,
121,61,Georgia Tech Yellow Jackets,0,49,5,14,3,2,30,9,21,60,17,3,21,14,12,23,Florida State Seminoles
122,61,Florida State Seminoles,1,59,10,14,5,5,35,6,29,46,16,4,16,30,23,19,
123,62,Notre Dame Fighting Irish,0,79,10,9,3,3,25,4,21,51,27,10,20,18,15,13,Notre Dame Fighting Irish
124,62,Boston College Eagles,1,73,17,9,4,2,34,14,20,67,31,7,23,8,4,13,
125,63,Miami (FL) Hurricanes,0,46,6,7,6,2,23,5,18,50,17,4,21,15,8,14,Virginia Cavaliers
126,63,Virginia Cavaliers,1,56,16,14,5,6,40,10,30,52,22,6,17,10,6,10,
127,64,Pittsburgh Panthers,1,56,14,11,6,1,37,16,21,57,18,5,22,22,15,17,Syracuse Orange
128,64,Syracuse Orange,0,65,11,9,7,6,34,10,24,53,22,7,22,17,14,17,
129,65,Wake Forest Demon Deacons,0,37,8,15,4,3,35,15,20,59,14,3,22,8,6,14,Clemson Tigers
130,65,Clemson Tigers,1,64,13,11,8,10,30,7,23,53,25,6,18,11,8,12,
131,66,Virginia Tech Hokies,1,64,13,12,4,5,24,4,20,45,20,9,24,21,15,14,Louisville Cardinals
132,66,Louisville Cardinals,0,72,14,15,3,0,30,10,20,53,24,13,27,12,11,16,
133,67,Boston College Eagles,0,55,9,14,1,0,30,5,25,56,20,6,17,11,9,15,Duke Blue Devils
134,67,Duke Blue Devils,1,80,14,7,9,9,41,14,27,65,29,7,24,22,15,13,
135,68,Pittsburgh Panthers,0,76,15,9,9,4,32,14,18,69,29,8,21,18,10,15,Wake Forest Demon Deacons
136,68,Wake Forest Demon Deacons,1,78,16,18,4,6,41,14,27,64,27,9,24,20,15,17,
137,69,North Carolina Tar Heels,1,113,26,17,7,7,38,11,27,66,37,8,21,37,31,23,North Carolina Tar Heels
138,69,North Carolina State Wolfpack,0,96,17,11,9,6,22,10,12,74,37,7,17,24,15,28,
139,70,Syracuse Orange,1,62,7,19,9,7,27,9,18,51,21,5,20,24,15,14,Florida State Seminoles
140,70,Florida State Seminoles,0,80,25,21,11,3,31,8,23,55,30,11,22,12,9,21,
141,71,Georgia Tech Yellow Jackets,1,42,8,16,6,8,24,6,18,43,13,4,12,16,12,11,Clemson Tigers
142,71,Clemson Tigers,0,65,17,10,7,7,34,7,27,55,27,6,17,10,5,15,
143,72,Miami (FL) Hurricanes,1,62,8,10,10,1,38,11,27,62,27,4,22,5,4,13,Miami (FL) Hurricanes
144,72,Notre Dame Fighting Irish,0,47,7,14,6,1,31,7,24,56,18,4,28,7,7,10,
145,73,Miami (FL) Hurricanes,0,85,14,15,6,3,35,9,26,68,32,14,31,7,7,16,North Carolina Tar Heels
146,73,North Carolina Tar Heels,1,88,15,10,9,4,29,3,26,66,31,13,26,17,13,13,
147,74,Clemson Tigers,1,59,13,12,6,12,28,5,23,46,19,11,28,13,10,18,Clemson Tigers
148,74,Virginia Tech Hokies,0,51,7,11,7,0,26,8,18,45,10,4,18,11,10,12,
149,75,North Carolina State Wolfpack,0,79,17,10,7,4,34,18,16,64,26,14,27,21,13,16,North Carolina State Wolfpack
150,75,Pittsburgh Panthers,1,76,11,15,6,8,34,11,23,55,26,8,19,19,16,20,
151,76,Boston College Eagles,0,56,12,16,4,1,30,10,20,54,18,7,23,19,13,20,Syracuse Orange
152,76,Syracuse Orange,1,67,10,11,12,6,32,9,23,53,22,7,19,20,16,16,
153,77,Louisville Cardinals,0,75,12,23,1,1,33,7,26,52,25,12,28,16,13,28,Florida State Seminoles
154,77,Florida State Seminoles,1,80,6,8,11,2,31,12,19,61,23,7,23,36,27,21,
155,78,Virginia Cavaliers,1,71,15,13,8,5,25,11,14,60,28,10,24,7,5,17,Duke Blue Devils
156,78,Duke Blue Devils,0,81,18,15,12,5,24,7,17,45,26,13,21,23,16,9,
157,79,Georgia Tech Yellow Jackets,0,59,13,12,7,7,33,10,23,54,22,7,23,13,8,17,Notre Dame Fighting Irish
158,79,Notre Dame Fighting Irish,1,69,12,8,8,2,43,18,25,64,21,6,27,25,21,14,
159,80,North Carolina Tar Heels,1,61,17,7,2,3,37,15,22,65,23,9,30,7,6,14,Virginia Cavaliers
160,80,Virginia Cavaliers,0,69,16,8,5,6,26,3,23,45,24,11,20,18,10,11,
161,81,Boston College Eagles,1,66,14,16,5,7,42,12,30,52,24,8,18,19,10,16,Boston College Eagles
162,81,Pittsburgh Panthers,0,57,13,10,10,2,37,14,23,69,20,10,37,12,7,18,
163,82,Louisville Cardinals,1,69,17,17,6,3,38,9,29,60,25,9,27,13,10,17,Duke Blue Devils
164,82,Duke Blue Devils,0,71,10,11,12,2,39,11,28,63,23,7,28,24,18,17,
165,83,Clemson Tigers,0,64,8,11,5,2,34,6,28,55,23,3,19,15,15,17,Miami (FL) Hurricanes
166,83,Miami (FL) Hurricanes,1,65,9,7,3,4,26,5,21,54,21,10,25,17,13,16,
167,84,Florida State Seminoles,1,88,21,9,7,6,41,12,29,62,35,10,26,16,8,16,Florida State Seminoles
168,84,Wake Forest Demon Deacons,0,66,13,9,3,3,25,5,20,57,22,11,25,17,11,16,
169,85,North Carolina State Wolfpack,1,73,19,20,10,4,37,5,32,49,24,5,18,24,20,17,North Carolina State Wolfpack
170,85,Syracuse Orange,0,58,8,12,10,3,28,10,18,60,21,5,25,22,11,19,
171,86,Georgia Tech Yellow Jackets,0,68,15,10,2,4,26,7,19,53,23,11,27,13,11,14,Virginia Tech Hokies
172,86,Virginia Tech Hokies,1,76,20,9,7,3,23,7,16,53,25,13,30,18,13,16,
173,87,North Carolina State Wolfpack,0,78,16,12,8,3,23,4,19,66,33,6,19,11,6,19,Duke Blue Devils
174,87,Duke Blue Devils,1,94,21,12,9,7,43,14,29,66,35,3,16,28,21,16,
175,88,Wake Forest Demon Deacons,1,57,8,20,2,4,32,14,18,67,22,4,23,13,9,9,North Carolina Tar Heels
176,88,North Carolina Tar Heels,0,95,21,15,13,6,34,7,27,61,38,16,25,11,3,19,
177,89,Louisville Cardinals,1,56,8,12,5,3,28,3,25,54,19,6,19,14,12,12,Louisville Cardinals
178,89,Clemson Tigers,0,55,8,17,5,2,39,10,29,57,22,6,13,7,5,17,
179,90,Virginia Cavaliers,1,60,12,8,5,4,35,6,29,52,19,8,23,17,14,6,Virginia Cavaliers
180,90,Notre Dame Fighting Irish,0,54,8,7,6,3,31,5,26,55,19,8,30,8,8,13,
181,91,Florida State Seminoles,0,69,17,14,7,6,48,10,38,64,25,9,30,14,10,17,Florida State Seminoles
182,91,Georgia Tech Yellow Jackets,1,47,9,14,7,3,37,6,31,59,16,8,23,11,7,10,
183,92,Virginia Tech Hokies,0,70,14,14,6,1,27,6,21,41,21,10,21,26,18,24,Virginia Tech Hokies
184,92,Pittsburgh Panthers,1,64,11,15,7,2,22,6,16,43,20,6,22,27,18,22,
185,93,Boston College Eagles,1,64,11,14,5,2,40,10,30,54,24,6,15,12,10,12,Boston College Eagles
186,93,Miami (FL) Hurricanes,0,57,11,9,5,2,26,8,18,60,22,4,26,12,9,15,
187,94,Virginia Cavaliers,0,64,14,13,5,4,27,6,21,50,23,11,27,12,7,15,Virginia Cavaliers
188,94,Virginia Tech Hokies,1,58,9,8,9,2,26,11,15,58,23,3,28,13,9,12,
189,95,Notre Dame Fighting Irish,1,68,16,10,5,4,25,6,19,51,23,8,26,18,14,19,Wake Forest Demon Deacons
190,95,Wake Forest Demon Deacons,0,75,19,14,7,2,34,10,24,53,26,8,18,22,15,16,
191,96,Clemson Tigers,1,64,11,11,5,4,28,7,21,60,23,8,23,16,10,18,Florida State Seminoles
192,96,Florida State Seminoles,0,77,12,12,4,4,40,8,32,60,29,7,18,17,12,21,
193,97,North Carolina State Wolfpack,1,89,14,13,11,0,36,15,21,67,29,9,25,26,22,18,North Carolina State Wolfpack
194,97,Boston College Eagles,0,80,13,16,4,4,37,14,23,64,30,11,29,15,9,19,
195,98,Syracuse Orange,1,69,12,12,5,5,39,9,30,57,22,11,30,16,14,14,Syracuse Orange
196,98,Louisville Cardinals,0,49,9,13,7,2,36,10,26,54,14,6,28,18,15,16,
197,99,North Carolina Tar Heels,0,88,20,14,10,2,45,9,36,75,38,2,20,14,10,15,North Carolina Tar Heels
198,99,Duke Blue Devils,1,72,9,20,11,8,37,11,26,72,25,8,39,19,14,17,
199,100,Pittsburgh Panthers,0,65,12,8,8,1,31,14,17,57,19,7,20,38,20,20,Georgia Tech Yellow Jackets
200,100,Georgia Tech Yellow Jackets,1,73,13,12,4,12,34,6,28,48,24,7,19,24,18,24,
201,101,Syracuse Orange,1,65,12,5,9,5,37,17,20,70,24,5,23,19,12,16,Duke Blue Devils
202,101,Duke Blue Devils,0,75,16,13,2,6,38,11,27,59,26,9,29,16,14,16,
203,102,Virginia Cavaliers,0,64,12,4,2,7,35,6,29,56,26,2,17,10,10,12,Virginia Cavaliers
204,102,Louisville Cardinals,1,52,10,5,2,3,26,5,21,55,17,12,33,8,6,12,
205,103,Clemson Tigers,1,76,15,12,8,3,30,6,24,52,27,8,17,18,14,11,Clemson Tigers
206,103,Boston College Eagles,0,66,8,13,3,1,32,12,20,61,25,7,25,13,9,16,
207,104,Miami (FL) Hurricanes,1,80,20,10,10,4,32,12,20,58,27,9,25,19,17,16,Miami (FL) Hurricanes
208,104,Georgia Tech Yellow Jackets,0,65,13,14,6,3,27,7,20,58,25,7,21,12,8,18,
209,105,North Carolina Tar Heels,1,77,11,10,3,3,42,8,34,61,26,7,20,25,18,15,North Carolina Tar Heels
210,105,Florida State Seminoles,0,59,13,10,6,8,31,6,25,59,18,10,31,16,13,18,
211,106,Virginia Tech Hokies,0,67,8,15,5,2,45,16,29,52,19,5,18,31,24,18,Virginia Tech Hokies
212,106,Notre Dame Fighting Irish,1,59,9,10,9,2,26,8,18,58,19,6,26,16,15,25,
213,107,Wake Forest Demon Deacons,0,74,12,9,4,2,30,8,22,59,23,7,21,20,14,19,North Carolina State Wolfpack
214,107,North Carolina State Wolfpack,1,94,19,9,5,7,44,14,30,67,31,11,30,30,21,20,
215,108,Notre Dame Fighting Irish,0,61,9,9,10,4,23,4,19,56,22,8,21,13,9,14,Florida State Seminoles
